Designator,Mid X,Mid Y,Rotation,Layer
AVDD1,15.9,1.1,90.0,top
AVSS1,14.2,1.1,90.0,top
C1,18.075,5.425,0.0,top
C10,14.325,5.4,270.0,top
C11,7.625,12.485,0.0,top
C12,7.61,10.485,0.0,top
C13,7.6,8.9,0.0,top
C14,7.6,6.9,0.0,top
C15,9.9,7.9,270.0,top
C16,16.225,15.2,0.0,top
C17,9.925,11.485,270.0,top
C2,18.075,3.875,0.0,top
C3,21.725,12.05,90.0,top
C4,23.3,12.05,90.0,top
C5,12.85,7.65,270.0,top
C6,12.85,12.1,270.0,top
C7,15.8,5.4,270.0,top
C8,18.56,14.4,90.0,top
C9,12.6,4.4,270.0,top
CLK_EN1,29.4,11.1,0.0,top
DGND1,27.8,1.1,90.0,top
DVDD1,29.5,1.1,90.0,top
ECG1,1.075,20.5,0.0,bottom
ECG2,1.075,18.8,0.0,top
ECG3,1.075,15.4,0.0,top
ECG4,1.075,13.7,0.0,top
G1,5.21,3.45,0.0,bottom
MISO1,24.4,1.1,270.0,top
MOSI1,21.0,1.1,270.0,top
Q1,17.2,17.78,180.0,top
Q2,7.775,18.5,180.0,top
Q3,11.625,18.52,180.0,top
Q4,8.1625,15.1,180.0,top
Q5,4.145,19.0,90.0,top
Q6,26.94375,16.81875,0.0,top
R1,4.55,12.7,0.0,top
R10,14.325,18.62,90.0,top
R11,19.9875,17.78,270.0,top
R12,3.9,14.25,180.0,top
R13,24.18125,16.91875,90.0,top
R14,26.9,14.3,180.0,top
R15,11.375,7.6,90.0,top
R16,26.9,12.7,0.0,top
R2,4.55,11.225,0.0,top
R3,4.3,16.0,0.0,top
R4,26.9,11.1,0.0,top
R5,4.55,8.075,0.0,top
R6,4.55,6.6,0.0,top
R7,4.55,9.65,0.0,top
R8,16.225,13.7,180.0,top
R9,12.175,16.0,180.0,top
RLD_OUT1,1.075,17.1,0.0,top
SCLK1,22.7,1.1,270.0,top
U1,16.8,9.875,0.0,top
U2,21.4,6.175,90.0,top
~{CS}1,19.3,1.1,270.0,top
~{DRDY}1,26.1,1.1,270.0,top
~{RESET}/~{PDN}1,29.4,12.8,0.0,top
~{TOUCH_DET}1,29.4,14.5,0.0,top
