Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,Battery_transplant,16.8,52.8,180.0,top
C1,1u,C_0603_1608Metric,51.95,17.0,-90.0,top
C2,1u,C_0603_1608Metric,50.3,17.0,-90.0,top
C3,1u,C_0603_1608Metric,48.8,17.0,90.0,top
C4,1u,C_0603_1608Metric,46.5,17.0,90.0,top
C5,2.2u,C_0603_1608Metric,34.45,17.0,90.0,top
C6,2.2u,C_0603_1608Metric,32.8,17.0,90.0,top
C7,22u,C_0805_2012Metric,77.075,23.925,0.0,top
C8,100n,C_0603_1608Metric,76.925,22.125,0.0,top
C9,100n,C_0603_1608Metric,75.275,27.275,0.0,top
C12,7p,C_0603_1608Metric,68.675,26.675,0.0,top
C13,7p,C_0603_1608Metric,67.725,22.675,180.0,top
C14,100n,C_0603_1608Metric,18.385,3.376875,90.0,top
C15,1u,C_0603_1608Metric,39.25,13.4,-90.0,top
C16,10u,C_0603_1608Metric,37.7,13.4,-90.0,top
C17,33p,C_0603_1608Metric,47.6375,9.92,180.0,top
C18,22u,C_0805_2012Metric,52.85,12.0,-90.0,top
C19,1u,C_0603_1608Metric,34.85,10.1625,90.0,top
C20,22u,C_0805_2012Metric,50.76,12.0,-90.0,top
C21,100n,C_0603_1608Metric,21.95,3.24,-90.0,top
C22,470n,C_0603_1608Metric,23.41,3.24,-90.0,top
D1,BAT54C,SOT-23,32.1,3.4,0.0,top
E1,~,Electrode,73.2,43.1,0.0,bottom
E2,~,SplitElectrode,12.35,43.1,180.0,bottom
G1,~,logo,41.52,49.18,0.0,bottom
J1,USB4105-GF-A-060,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,40.75,3.695,0.0,top
J2,Conn_01x06_Pin,Molex_Pico-Clasp_501331-0607_1x06-1MP_P1.00mm_Vertical,52.225,4.325,180.0,top
L1,4.7uH,TYA40124R7M-10,47.25,12.9,-90.0,top
M1,~,ECG-module_1lead,50.8,31.2625,0.0,top
Q3,"NX3008PBK,215",SOT-23,32.1,6.8,180.0,top
QR1,SYM_Magnet_Large,website-qr,12.775,24.95,0.0,bottom
R1,390k,R_0603_1608Metric,36.0,17.0,-90.0,top
R2,100k,R_0603_1608Metric,75.275,25.725,180.0,top
R3,1M,R_0603_1608Metric,73.825,24.175,180.0,top
R4,1M,R_0603_1608Metric,63.5,22.8,90.0,top
R5,1M,R_0603_1608Metric,65.0,22.8,-90.0,top
R6,100,R_0603_1608Metric,20.14,3.2425,-90.0,top
R7,100k,R_0603_1608Metric,47.6375,8.445,0.0,top
R8,22k,R_0603_1608Metric,44.65,9.9,180.0,top
R9,5k1,R_0603_1608Metric,54.8875,12.15,-90.0,top
R11,5k1,R_0603_1608Metric,56.3625,12.15,-90.0,top
R12,5k1,R_0603_1608Metric,57.025,7.675,0.0,top
R13,10k,R_0603_1608Metric,57.9,9.9,90.0,top
R14,5k1,R_0603_1608Metric,34.1,12.6875,180.0,top
R15,1k,R_0603_1608Metric,12.76,4.0525,90.0,top
R18,0R02,R_0603_1608Metric,27.23,5.07,180.0,top
R19,5k1,R_0603_1608Metric,37.225,10.825,0.0,top
R20,5k1,R_0603_1608Metric,40.475,10.725,0.0,top
U1,SSD1306,SSD1306,42.5,20.65,0.0,top
U2,ESP32-S2-SOLO,ESP32-S2-SOLO,59.425,20.4,-90.0,top
U3,TLV62568PDRLT,SOT-23-5,42.3125,13.25,180.0,top
U4,MCP73832,SOT-23-5,31.975,10.2375,0.0,top
U5,DW01,SOT-23-6,15.585,3.176875,0.0,top
U6,8205A,SOT-23-6,9.935,3.176875,0.0,top
U7,MAX17055,MAX17055,27.05282,3.193125,90.0,top
Y1,SC32S-7PF20PPM,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,68.175,24.675,0.0,top
