Designator,Mid X,Mid Y,Rotation,Layer
BT1,16.8,52.8,180.0,top
C1,51.95,17.0,270.0,top
C12,68.675,26.675,0.0,top
C13,67.725,22.675,180.0,top
C14,18.385,3.376875,90.0,top
C15,39.25,13.4,270.0,top
C16,37.7,13.4,270.0,top
C17,47.6375,9.92,180.0,top
C18,52.85,12.0,270.0,top
C19,34.85,10.1625,90.0,top
C2,50.3,17.0,270.0,top
C20,50.76,12.0,270.0,top
C21,21.95,3.24,270.0,top
C22,23.41,3.24,270.0,top
C3,48.8,17.0,90.0,top
C4,46.5,17.0,90.0,top
C5,34.45,17.0,90.0,top
C6,32.8,17.0,90.0,top
C7,77.075,23.925,0.0,top
C8,76.925,22.125,0.0,top
C9,75.275,27.275,0.0,top
D1,32.1,3.4,0.0,top
E1,73.2,43.1,0.0,bottom
E2,12.35,43.1,180.0,bottom
G1,41.52,49.18,0.0,bottom
J1,40.75,3.695,0.0,top
J2,52.225,4.325,180.0,top
L1,47.25,12.9,270.0,top
M1,50.8,31.2625,0.0,top
Q3,32.1,6.8,180.0,top
QR1,12.775,24.95,0.0,bottom
R1,36.0,17.0,270.0,top
R11,56.3625,12.15,270.0,top
R12,57.025,7.675,0.0,top
R13,57.9,9.9,90.0,top
R14,34.1,12.6875,180.0,top
R15,12.76,4.0525,90.0,top
R18,27.23,5.07,180.0,top
R19,37.225,10.825,0.0,top
R2,75.275,25.725,180.0,top
R20,40.475,10.725,0.0,top
R3,73.825,24.175,180.0,top
R4,63.5,22.8,90.0,top
R5,65.0,22.8,270.0,top
R6,20.14,3.2425,270.0,top
R7,47.6375,8.445,0.0,top
R8,44.65,9.9,180.0,top
R9,54.8875,12.15,270.0,top
U1,42.5,20.65,0.0,top
U2,59.425,20.4,270.0,top
U3,42.3125,13.25,180.0,top
U4,31.975,10.2375,0.0,top
U5,15.585,3.176875,0.0,top
U6,9.935,3.176875,0.0,top
U7,27.05282,3.193125,90.0,top
Y1,68.175,24.675,0.0,top
